,alg,partitions,truth,covered,matching,mean_coverage,min_coverage,max_coverage,mean_distance,min_distance,max_distance,f1_score,f1_std,label,,seeds,threshold,min_community_size,density_threshold,affinity_threshold,closeness_threshold,epsilon,min_com_size,d_threshold,cp_threshold,level,k,t_in,alpha,overlap_threshold,min_bel_degree,threshold_bel_degree,weightName,weight,resolution,randomize,initial_membership,weights,node_sizes,resolution_parameter,population,generation,r,head_tail_ratio,weight_threshold,flags
420,coms_infomap,15,17,0.8823529411764706,fewer,0.7022222222222222,0.3,1.0,1.2366666666666666,0.5,2.0,0.7116666666666667,0.2248765093211037,crisp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,pyCombo_1,6,17,0.35294117647058826,fewer,0.9666666666666667,0.8,1.0,1.1352396141869825,0.45454545454545453,2.0,0.6914285714285714,0.20293760979519732,crisp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,coms_paris,6,17,0.35294117647058826,fewer,0.9666666666666667,0.8,1.0,1.1352396141869825,0.45454545454545453,2.0,0.6914285714285714,0.20293760979519732,crisp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Louvain_5,8,17,0.47058823529411764,fewer,0.85,0.5,1.0,1.1190705128205127,0.6666666666666666,2.0,0.6759999999999999,0.16883127672324225,crisp,,,,,,,,,,,,,,,,,,,,weight,0.9999999999999999,,,,,,,,,,,
377,pyCombo_5,8,17,0.47058823529411764,fewer,0.85,0.5,1.0,1.1190705128205127,0.6666666666666666,2.0,0.6759999999999999,0.16883127672324225,crisp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,coms_greedy_modularity,8,17,0.47058823529411764,fewer,0.85,0.5,1.0,1.1190705128205127,0.6666666666666666,2.0,0.6759999999999999,0.16883127672324225,crisp,,,,,,,,,,,,,,,,,,,,weight,,,,,,,,,,,,
421,coms_leiden,8,17,0.47058823529411764,fewer,0.85,0.5,1.0,1.1190705128205127,0.6666666666666666,2.0,0.6759999999999999,0.16883127672324225,crisp,,,,,,,,,,,,,,,,,,,,,,,,weight,,,,,,,,
379,pyCombo_7,10,17,0.5882352941176471,fewer,0.7833333333333333,0.3333333333333333,1.0,1.1302564102564103,0.6666666666666666,2.0,0.6758333333333333,0.18400445344852087,crisp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Louvain_12,12,17,0.7058823529411765,fewer,0.725,0.3,1.0,1.1337273837273838,0.6,2.0,0.666,0.20313542280951394,crisp,,,,,,,,,,,,,,,,,,,,weight,1.6999999999999997,,,,,,,,,,,
13,Louvain_13,12,17,0.7058823529411765,fewer,0.725,0.3,1.0,1.1337273837273838,0.6,2.0,0.666,0.20313542280951394,crisp,,,,,,,,,,,,,,,,,,,,weight,1.7999999999999998,,,,,,,,,,,
