,concept:name,org:resource,time:timestamp,Activity,Resource,lifecycle:transition,eventId,case:concept:name
0,sleeping_BP,0,2020-03-16 00:00:00+00:00,sleeping_BP,0,start,0,case_id
1,sleeping_BP,0,2020-03-16 07:38:00+00:00,sleeping_BP,0,complete,1,case_id
2,drink,0,2020-03-16 07:38:00+00:00,drink,0,start,2,case_id
3,drink,0,2020-03-16 07:40:00+00:00,drink,0,complete,3,case_id
4,housekeeping_BP,0,2020-03-16 07:40:00+00:00,housekeeping_BP,0,start,4,case_id
5,housekeeping_BP,0,2020-03-16 08:02:00+00:00,housekeeping_BP,0,complete,5,case_id
6,work_BP,0,2020-03-16 08:10:00+00:00,work_BP,0,start,6,case_id
7,work_BP,0,2020-03-16 18:31:00+00:00,work_BP,0,complete,7,case_id
8,drink,0,2020-03-16 18:31:00+00:00,drink,0,start,8,case_id
9,drink,0,2020-03-16 18:43:00+00:00,drink,0,complete,9,case_id
10,use_computer,0,2020-03-16 18:43:00+00:00,use_computer,0,start,10,case_id
11,use_computer,0,2020-03-16 20:35:00+00:00,use_computer,0,complete,11,case_id
12,someone_at_entrace,0,2020-03-16 20:35:00+00:00,someone_at_entrace,0,start,12,case_id
13,someone_at_entrace,0,2020-03-16 20:39:00+00:00,someone_at_entrace,0,complete,13,case_id
14,cook_and_eat_BP,0,2020-03-16 20:39:00+00:00,cook_and_eat_BP,0,start,14,case_id
15,cook_and_eat_BP,0,2020-03-16 20:42:00+00:00,cook_and_eat_BP,0,complete,15,case_id
16,drink,0,2020-03-16 21:30:00+00:00,drink,0,start,16,case_id
17,drink,0,2020-03-16 21:34:00+00:00,drink,0,complete,17,case_id
18,cook_and_eat_BP,0,2020-03-16 21:34:00+00:00,cook_and_eat_BP,0,start,18,case_id
19,cook_and_eat_BP,0,2020-03-16 21:59:00+00:00,cook_and_eat_BP,0,complete,19,case_id
20,housekeeping_BP,0,2020-03-16 21:59:00+00:00,housekeeping_BP,0,start,20,case_id
21,housekeeping_BP,0,2020-03-16 22:14:00+00:00,housekeeping_BP,0,complete,21,case_id
22,wc,0,2020-03-16 22:28:00+00:00,wc,0,start,22,case_id
23,wc,0,2020-03-16 22:32:00+00:00,wc,0,complete,23,case_id
24,drink,0,2020-03-16 22:32:00+00:00,drink,0,start,24,case_id
25,drink,0,2020-03-16 22:34:00+00:00,drink,0,complete,25,case_id
26,housekeeping_BP,0,2020-03-16 22:34:00+00:00,housekeeping_BP,0,start,26,case_id
27,housekeeping_BP,0,2020-03-16 22:42:00+00:00,housekeeping_BP,0,complete,27,case_id
28,relax_BP,0,2020-03-16 22:42:00+00:00,relax_BP,0,start,28,case_id
29,relax_BP,0,2020-03-16 23:50:00+00:00,relax_BP,0,complete,29,case_id
30,sleeping_BP,0,2020-03-16 23:50:00+00:00,sleeping_BP,0,start,30,case_id
31,sleeping_BP,0,2020-03-17 00:28:00+00:00,sleeping_BP,0,complete,31,case_id
32,wc,0,2020-03-17 04:03:00+00:00,wc,0,start,32,case_id
33,wc,0,2020-03-17 04:11:00+00:00,wc,0,complete,33,case_id
34,sleeping_BP,0,2020-03-17 04:11:00+00:00,sleeping_BP,0,start,34,case_id
35,sleeping_BP,0,2020-03-17 04:12:00+00:00,sleeping_BP,0,complete,35,case_id
36,work_BP,0,2020-03-17 08:17:00+00:00,work_BP,0,start,36,case_id
37,work_BP,0,2020-03-17 18:39:00+00:00,work_BP,0,complete,37,case_id
38,drink,0,2020-03-17 18:39:00+00:00,drink,0,start,38,case_id
39,drink,0,2020-03-17 18:52:00+00:00,drink,0,complete,39,case_id
40,use_computer,0,2020-03-17 18:52:00+00:00,use_computer,0,start,40,case_id
41,use_computer,0,2020-03-17 20:50:00+00:00,use_computer,0,complete,41,case_id
42,cook_and_eat_BP,0,2020-03-17 20:50:00+00:00,cook_and_eat_BP,0,start,42,case_id
43,cook_and_eat_BP,0,2020-03-17 20:53:00+00:00,cook_and_eat_BP,0,complete,43,case_id
44,drink,0,2020-03-17 21:45:00+00:00,drink,0,start,44,case_id
45,drink,0,2020-03-17 21:49:00+00:00,drink,0,complete,45,case_id
46,cook_and_eat_BP,0,2020-03-17 21:49:00+00:00,cook_and_eat_BP,0,complete,46,case_id
47,sleeping_BP,0,2020-03-17 22:18:00+00:00,sleeping_BP,0,complete,47,case_id
48,wc,0,2020-03-18 01:08:00+00:00,wc,0,start,48,case_id
49,wc,0,2020-03-18 01:17:00+00:00,wc,0,complete,49,case_id
50,someone_at_entrace,0,2020-03-18 01:17:00+00:00,someone_at_entrace,0,start,50,case_id
51,someone_at_entrace,0,2020-03-18 01:21:00+00:00,someone_at_entrace,0,complete,51,case_id
52,sleeping_BP,0,2020-03-18 01:21:00+00:00,sleeping_BP,0,start,52,case_id
53,sleeping_BP,0,2020-03-18 02:21:00+00:00,sleeping_BP,0,complete,53,case_id
54,cook_and_eat_BP,0,2020-03-18 02:21:00+00:00,cook_and_eat_BP,0,start,54,case_id
55,cook_and_eat_BP,0,2020-03-18 02:27:00+00:00,cook_and_eat_BP,0,complete,55,case_id
56,drink,0,2020-03-18 02:27:00+00:00,drink,0,start,56,case_id
57,drink,0,2020-03-18 02:29:00+00:00,drink,0,complete,57,case_id
58,relax_BP,0,2020-03-18 02:29:00+00:00,relax_BP,0,start,58,case_id
59,relax_BP,0,2020-03-18 03:28:00+00:00,relax_BP,0,complete,59,case_id
