,concept:name,org:resource,time:timestamp,Activity,Resource,lifecycle:transition,eventId,case:concept:name,case:traceId
0,go_wardrobe,0,2020-03-16 00:00:00+00:00,go_wardrobe,0,complete,0,sleeping_BP,0
1,get_clothes,0,2020-03-16 00:00:00+00:00,get_clothes,0,start,1,sleeping_BP,0
2,get_clothes,0,2020-03-16 00:01:00+00:00,get_clothes,0,complete,3,sleeping_BP,0
3,change_clothes,0,2020-03-16 00:01:00+00:00,change_clothes,0,start,4,sleeping_BP,0
4,change_clothes,0,2020-03-16 00:05:00+00:00,change_clothes,0,complete,5,sleeping_BP,0
5,go_bathtub,0,2020-03-16 00:05:00+00:00,go_bathtub,0,complete,6,sleeping_BP,0
6,go_bathtub,0,2020-03-16 00:06:00+00:00,go_bathtub,0,complete,7,sleeping_BP,0
7,have_bath,0,2020-03-16 00:06:00+00:00,have_bath,0,start,8,sleeping_BP,0
8,have_bath,0,2020-03-16 00:30:00+00:00,have_bath,0,complete,10,sleeping_BP,0
9,go_bathroom_sink,0,2020-03-16 00:30:00+00:00,go_bathroom_sink,0,complete,11,sleeping_BP,0
10,brush_teeth,0,2020-03-16 00:30:00+00:00,brush_teeth,0,start,12,sleeping_BP,0
11,brush_teeth,0,2020-03-16 00:36:00+00:00,brush_teeth,0,complete,14,sleeping_BP,0
12,go_bed,0,2020-03-16 00:36:00+00:00,go_bed,0,complete,15,sleeping_BP,0
13,sleep_in_bed,0,2020-03-16 00:36:00+00:00,sleep_in_bed,0,start,16,sleeping_BP,0
14,sleep_in_bed,0,2020-03-16 07:33:00+00:00,sleep_in_bed,0,complete,18,sleeping_BP,0
15,go_wardrobe,0,2020-03-16 07:33:00+00:00,go_wardrobe,0,complete,19,sleeping_BP,0
16,change_clothes,0,2020-03-16 07:33:00+00:00,change_clothes,0,start,20,sleeping_BP,0
17,change_clothes,0,2020-03-16 07:38:00+00:00,change_clothes,0,complete,22,sleeping_BP,0
253,go_kitchen_shelf,0,2020-03-16 07:38:00+00:00,go_kitchen_shelf,0,complete,23,drink,1
254,get_glass,0,2020-03-16 07:38:00+00:00,get_glass,0,start,24,drink,1
255,get_glass,0,2020-03-16 07:39:00+00:00,get_glass,0,complete,26,drink,1
256,go_kitchen_sink,0,2020-03-16 07:39:00+00:00,go_kitchen_sink,0,complete,27,drink,1
257,get_water,0,2020-03-16 07:39:00+00:00,get_water,0,start,28,drink,1
258,get_water,0,2020-03-16 07:39:00+00:00,get_water,0,complete,30,drink,1
259,drink_water,0,2020-03-16 07:39:00+00:00,drink_water,0,start,31,drink,1
260,drink_water,0,2020-03-16 07:40:00+00:00,drink_water,0,complete,33,drink,1
1050,go_computer,0,2020-03-16 07:40:00+00:00,go_computer,0,complete,34,housekeeping_BP,2
1051,go_computer,0,2020-03-16 07:41:00+00:00,go_computer,0,complete,35,housekeeping_BP,2
1052,clean,0,2020-03-16 07:41:00+00:00,clean,0,start,36,housekeeping_BP,2
1053,clean,0,2020-03-16 08:02:00+00:00,clean,0,complete,38,housekeeping_BP,2
1054,go_book_shelf,0,2020-03-16 08:02:00+00:00,go_book_shelf,0,complete,39,housekeeping_BP,2
1055,clean,0,2020-03-16 08:02:00+00:00,clean,0,start,40,housekeeping_BP,2
1065,go_wardrobe,0,2020-03-16 08:10:00+00:00,go_wardrobe,0,complete,42,work_BP,3
1066,change_clothes,0,2020-03-16 08:10:00+00:00,change_clothes,0,start,43,work_BP,3
1067,change_clothes,0,2020-03-16 08:14:00+00:00,change_clothes,0,complete,45,work_BP,3
