,concept:name,org:resource,time:timestamp,Activity,Resource,lifecycle:transition,eventId,case:concept:name
0,prepared_sleep,0,2020-03-16 00:00:00+00:00,prepared_sleep,0,start,0,case_id
1,prepared_sleep,0,2020-03-16 07:31:00+00:00,prepared_sleep,0,complete,1,case_id
2,drink,0,2020-03-16 07:31:00+00:00,drink,0,start,2,case_id
3,drink,0,2020-03-16 07:33:00+00:00,drink,0,complete,3,case_id
4,use_computer,0,2020-03-16 07:33:00+00:00,use_computer,0,start,4,case_id
5,use_computer,0,2020-03-16 07:34:00+00:00,use_computer,0,complete,5,case_id
6,go_work,0,2020-03-16 08:07:00+00:00,go_work,0,start,6,case_id
7,go_work,0,2020-03-16 18:29:00+00:00,go_work,0,complete,7,case_id
8,drink,0,2020-03-16 18:29:00+00:00,drink,0,start,8,case_id
9,drink,0,2020-03-16 18:40:00+00:00,drink,0,complete,9,case_id
10,use_computer,0,2020-03-16 18:40:00+00:00,use_computer,0,start,10,case_id
11,use_computer,0,2020-03-16 20:00:00+00:00,use_computer,0,complete,11,case_id
12,someone_at_entrace,0,2020-03-16 20:00:00+00:00,someone_at_entrace,0,start,12,case_id
13,someone_at_entrace,0,2020-03-16 20:04:00+00:00,someone_at_entrace,0,complete,13,case_id
14,eat_cold,0,2020-03-16 20:04:00+00:00,eat_cold,0,start,14,case_id
15,eat_cold,0,2020-03-16 20:06:00+00:00,eat_cold,0,complete,15,case_id
16,drink,0,2020-03-16 21:01:00+00:00,drink,0,start,16,case_id
17,drink,0,2020-03-16 21:05:00+00:00,drink,0,complete,17,case_id
18,eat_cold,0,2020-03-16 21:05:00+00:00,eat_cold,0,start,18,case_id
19,eat_cold,0,2020-03-16 21:21:00+00:00,eat_cold,0,complete,19,case_id
20,watch_tv,0,2020-03-16 21:21:00+00:00,watch_tv,0,start,20,case_id
21,watch_tv,0,2020-03-16 21:22:00+00:00,watch_tv,0,complete,21,case_id
22,drink,0,2020-03-16 22:22:00+00:00,drink,0,start,22,case_id
23,drink,0,2020-03-16 22:24:00+00:00,drink,0,complete,23,case_id
24,wc,0,2020-03-16 22:24:00+00:00,wc,0,start,24,case_id
25,wc,0,2020-03-16 22:29:00+00:00,wc,0,complete,25,case_id
26,watch_tv,0,2020-03-16 22:29:00+00:00,watch_tv,0,start,26,case_id
27,watch_tv,0,2020-03-16 22:38:00+00:00,watch_tv,0,complete,27,case_id
28,use_computer,0,2020-03-16 22:38:00+00:00,use_computer,0,start,28,case_id
29,use_computer,0,2020-03-16 22:39:00+00:00,use_computer,0,complete,29,case_id
30,prepared_sleep,0,2020-03-16 23:34:00+00:00,prepared_sleep,0,start,30,case_id
31,prepared_sleep,0,2020-03-17 00:08:00+00:00,prepared_sleep,0,complete,31,case_id
32,wc,0,2020-03-17 03:53:00+00:00,wc,0,start,32,case_id
33,wc,0,2020-03-17 04:02:00+00:00,wc,0,complete,33,case_id
34,prepared_sleep,0,2020-03-17 04:02:00+00:00,prepared_sleep,0,complete,34,case_id
35,go_work,0,2020-03-17 08:16:00+00:00,go_work,0,start,35,case_id
36,go_work,0,2020-03-17 18:36:00+00:00,go_work,0,complete,36,case_id
37,drink,0,2020-03-17 18:36:00+00:00,drink,0,start,37,case_id
38,drink,0,2020-03-17 18:49:00+00:00,drink,0,complete,38,case_id
39,use_computer,0,2020-03-17 18:49:00+00:00,use_computer,0,start,39,case_id
40,use_computer,0,2020-03-17 19:52:00+00:00,use_computer,0,complete,40,case_id
41,eat_cold,0,2020-03-17 19:53:00+00:00,eat_cold,0,start,41,case_id
42,eat_cold,0,2020-03-17 19:55:00+00:00,eat_cold,0,complete,42,case_id
43,drink,0,2020-03-17 20:58:00+00:00,drink,0,start,43,case_id
44,drink,0,2020-03-17 21:02:00+00:00,drink,0,complete,44,case_id
45,eat_cold,0,2020-03-17 21:02:00+00:00,eat_cold,0,complete,45,case_id
46,someone_at_entrace,0,2020-03-17 21:21:00+00:00,someone_at_entrace,0,start,46,case_id
47,someone_at_entrace,0,2020-03-17 21:24:00+00:00,someone_at_entrace,0,complete,47,case_id
