,concept:name,org:resource,time:timestamp,Activity,Resource,lifecycle:transition,eventId,case:concept:name,case:traceId
0,go_wardrobe,0,2020-03-16 00:00:00+00:00,go_wardrobe,0,complete,1484,prepared_sleep,117
1,get_clothes,0,2020-03-16 00:00:00+00:00,get_clothes,0,start,1485,prepared_sleep,117
2,noise 20,0,2020-03-16 00:00:00+00:00,noise 20,0,complete,1486,prepared_sleep,117
3,get_clothes,0,2020-03-16 00:01:00+00:00,get_clothes,0,complete,1487,prepared_sleep,117
4,go_bathtub,0,2020-03-16 00:01:00+00:00,go_bathtub,0,complete,1488,prepared_sleep,117
5,have_bath,0,2020-03-16 00:01:00+00:00,have_bath,0,start,1489,prepared_sleep,117
6,noise 40,0,2020-03-16 00:01:00+00:00,noise 40,0,complete,1490,prepared_sleep,117
7,have_bath,0,2020-03-16 00:26:00+00:00,have_bath,0,complete,1491,prepared_sleep,117
8,go_bathroom_sink,0,2020-03-16 00:26:00+00:00,go_bathroom_sink,0,complete,1492,prepared_sleep,117
9,brush_teeth,0,2020-03-16 00:26:00+00:00,brush_teeth,0,start,1493,prepared_sleep,117
10,noise 20,0,2020-03-16 00:26:00+00:00,noise 20,0,complete,1494,prepared_sleep,117
11,brush_teeth,0,2020-03-16 00:31:00+00:00,brush_teeth,0,complete,1495,prepared_sleep,117
12,go_bed,0,2020-03-16 00:31:00+00:00,go_bed,0,complete,1496,prepared_sleep,117
13,go_bed,0,2020-03-16 00:32:00+00:00,go_bed,0,complete,1497,prepared_sleep,117
14,sleep_in_bed,0,2020-03-16 00:32:00+00:00,sleep_in_bed,0,start,1498,prepared_sleep,117
15,noise 2,0,2020-03-16 00:32:00+00:00,noise 2,0,complete,1499,prepared_sleep,117
16,sleep_in_bed,0,2020-03-16 07:27:00+00:00,sleep_in_bed,0,complete,1500,prepared_sleep,117
17,go_wardrobe,0,2020-03-16 07:27:00+00:00,go_wardrobe,0,complete,1501,prepared_sleep,117
18,change_clothes,0,2020-03-16 07:27:00+00:00,change_clothes,0,start,1502,prepared_sleep,117
19,noise 20,0,2020-03-16 07:27:00+00:00,noise 20,0,complete,1503,prepared_sleep,117
20,change_clothes,0,2020-03-16 07:31:00+00:00,change_clothes,0,complete,1504,prepared_sleep,117
21,go_kitchen_shelf,0,2020-03-16 07:31:00+00:00,go_kitchen_shelf,0,complete,1505,drink,118
22,get_glass,0,2020-03-16 07:31:00+00:00,get_glass,0,start,1506,drink,118
23,noise 20,0,2020-03-16 07:31:00+00:00,noise 20,0,complete,1507,drink,118
24,get_glass,0,2020-03-16 07:32:00+00:00,get_glass,0,complete,1508,drink,118
25,go_kitchen_sink,0,2020-03-16 07:32:00+00:00,go_kitchen_sink,0,complete,1509,drink,118
26,get_water,0,2020-03-16 07:32:00+00:00,get_water,0,start,1510,drink,118
27,noise 20,0,2020-03-16 07:32:00+00:00,noise 20,0,complete,1511,drink,118
