,concept:name,org:resource,time:timestamp,Activity,Resource,lifecycle:transition,eventId,case:concept
0,go_dining_table:65,0,2020-03-16 20:41:00+00:00,go_dining_table:65,0,start,104,case_id
1,go_dining_table:65,0,2020-03-16 20:42:00+00:00,go_dining_table:65,0,complete,108,case_id
2,interact_with_man:38,0,2020-03-16 20:35:00+00:00,interact_with_man:38,0,start,90,case_id
3,interact_with_man:38,0,2020-03-16 20:39:00+00:00,interact_with_man:38,0,complete,94,case_id
4,go_dining_table:65,0,2020-03-16 21:34:00+00:00,go_dining_table:65,0,start,121,case_id
5,go_dining_table:65,0,2020-03-16 21:59:00+00:00,go_dining_table:65,0,complete,123,case_id
6,get_clothes:30,0,2020-03-16 00:00:00+00:00,get_clothes:30,0,start,1,case_id
7,get_clothes:30,0,2020-03-16 00:01:00+00:00,get_clothes:30,0,complete,3,case_id
8,interact_with_man:38,0,2020-03-18 01:17:00+00:00,interact_with_man:38,0,start,291,case_id
9,interact_with_man:38,0,2020-03-18 01:21:00+00:00,interact_with_man:38,0,complete,295,case_id
10,interact_with_man:38,0,2020-03-18 19:20:00+00:00,interact_with_man:38,0,start,492,case_id
11,interact_with_man:38,0,2020-03-18 19:23:00+00:00,interact_with_man:38,0,complete,495,case_id
12,go_computer:86,0,2020-03-16 07:40:00+00:00,go_computer:86,0,start,34,case_id
13,go_computer:86,0,2020-03-16 07:41:00+00:00,go_computer:86,0,complete,35,case_id
14,get_clothes:30,0,2020-03-16 00:05:00+00:00,get_clothes:30,0,start,6,case_id
15,get_clothes:30,0,2020-03-16 00:30:00+00:00,get_clothes:30,0,complete,10,case_id
16,do_exercise:12,0,2020-03-21 21:56:00+00:00,do_exercise:12,0,start,986,case_id
17,get_clothes:30,0,2020-03-16 23:51:00+00:00,get_clothes:30,0,start,174,case_id
18,do_exercise:12,0,2020-03-21 22:30:00+00:00,do_exercise:12,0,complete,989,case_id
19,get_clothes:30,0,2020-03-16 23:52:00+00:00,get_clothes:30,0,complete,176,case_id
20,change_clothes:112,0,2020-03-16 00:01:00+00:00,change_clothes:112,0,start,4,case_id
21,change_clothes:112,0,2020-03-16 00:05:00+00:00,change_clothes:112,0,complete,5,case_id
22,go_windows:6,0,2020-03-21 16:53:00+00:00,go_windows:6,0,start,877,case_id
23,go_windows:6,0,2020-03-21 16:54:00+00:00,go_windows:6,0,complete,883,case_id
24,go_bed:47,0,2020-03-16 00:30:00+00:00,go_bed:47,0,start,12,case_id
25,go_bed:47,0,2020-03-16 07:33:00+00:00,go_bed:47,0,complete,18,case_id
26,wc_do:134,0,2020-03-16 00:30:00+00:00,wc_do:134,0,start,11,case_id
27,wc_do:134,0,2020-03-16 20:35:00+00:00,wc_do:134,0,complete,89,case_id
28,interact_with_man:38,0,2020-03-20 22:30:00+00:00,interact_with_man:38,0,start,740,case_id
29,interact_with_man:38,0,2020-03-20 22:34:00+00:00,interact_with_man:38,0,complete,744,case_id
30,get_water:240,0,2020-03-16 07:38:00+00:00,get_water:240,0,start,23,case_id
31,get_water:240,0,2020-03-16 07:40:00+00:00,get_water:240,0,complete,33,case_id
32,interact_with_man:38,0,2020-03-22 10:12:00+00:00,interact_with_man:38,0,start,1263,case_id
33,interact_with_man:38,0,2020-03-22 10:14:00+00:00,interact_with_man:38,0,complete,1266,case_id
34,get_clothes:30,0,2020-03-16 23:55:00+00:00,get_clothes:30,0,start,179,case_id
35,get_clothes:30,0,2020-03-17 00:22:00+00:00,get_clothes:30,0,complete,183,case_id
36,go_bed:47,0,2020-03-17 00:22:00+00:00,go_bed:47,0,start,185,case_id
37,go_bed:47,0,2020-03-17 00:28:00+00:00,go_bed:47,0,complete,189,case_id
38,go_dining_table:65,0,2020-03-17 20:52:00+00:00,go_dining_table:65,0,start,260,case_id
39,go_dining_table:65,0,2020-03-17 20:53:00+00:00,go_dining_table:65,0,complete,264,case_id
40,go_bed:47,0,2020-03-17 04:11:00+00:00,go_bed:47,0,start,201,case_id
41,go_bed:47,0,2020-03-17 04:12:00+00:00,go_bed:47,0,complete,202,case_id
42,interact_with_man:38,0,2020-03-22 15:09:00+00:00,interact_with_man:38,0,start,1372,case_id
43,interact_with_man:38,0,2020-03-22 15:12:00+00:00,interact_with_man:38,0,complete,1375,case_id
44,go_chair:4,0,2020-03-16 22:42:00+00:00,go_chair:4,0,start,162,case_id
45,go_chair:4,0,2020-03-16 23:50:00+00:00,go_chair:4,0,complete,171,case_id
46,change_clothes:112,0,2020-03-16 07:33:00+00:00,change_clothes:112,0,start,19,case_id
47,change_clothes:112,0,2020-03-16 07:38:00+00:00,change_clothes:112,0,complete,22,case_id
48,go_windows:6,0,2020-03-22 18:17:00+00:00,go_windows:6,0,start,1440,case_id
49,go_windows:6,0,2020-03-22 18:18:00+00:00,go_windows:6,0,complete,1446,case_id
50,wash_hands:192,0,2020-03-16 20:39:00+00:00,wash_hands:192,0,start,96,case_id
51,go_dining_table:65,0,2020-03-17 21:49:00+00:00,go_dining_table:65,0,start,277,case_id
52,go_dining_table:65,0,2020-03-18 02:27:00+00:00,go_dining_table:65,0,complete,307,case_id
53,go_bed:47,0,2020-03-17 22:18:00+00:00,go_bed:47,0,start,279,case_id
54,go_bed:47,0,2020-03-18 02:16:00+00:00,go_bed:47,0,complete,299,case_id
55,get_clothes:30,0,2020-03-18 22:28:00+00:00,get_clothes:30,0,start,564,case_id
57,get_clothes:30,0,2020-03-18 22:29:00+00:00,get_clothes:30,0,complete,566,case_id
56,wc_do:134,0,2020-03-16 20:39:00+00:00,wc_do:134,0,start,95,case_id
58,wc_do:134,0,2020-03-16 22:32:00+00:00,wc_do:134,0,complete,143,case_id
59,interact_with_man:38,0,2020-03-24 04:00:00+00:00,interact_with_man:38,0,start,1585,case_id
60,interact_with_man:38,0,2020-03-24 04:04:00+00:00,interact_with_man:38,0,complete,1589,case_id
61,interact_with_man:38,0,2020-03-24 18:49:00+00:00,interact_with_man:38,0,start,1688,case_id
62,interact_with_man:38,0,2020-03-24 18:52:00+00:00,interact_with_man:38,0,complete,1691,case_id
63,wash_hands:192,0,2020-03-16 20:41:00+00:00,wash_hands:192,0,complete,102,case_id
64,get_clothes:30,0,2020-03-18 22:32:00+00:00,get_clothes:30,0,start,569,case_id
65,get_clothes:30,0,2020-03-18 22:58:00+00:00,get_clothes:30,0,complete,573,case_id
66,get_water:240,0,2020-03-16 18:31:00+00:00,get_water:240,0,start,66,case_id
